city,brand,model,type,cc,color,km,year,price
Asturias,BMW,K 1200 S,Turismo,1157,tricolor,55725,2006,7300
Valencia,BMW,R 1200 RT 110cv,Turismo,1170,Plata,39588,2006,7950
Barcelona,RIYA,Mustang 125,Scooter 125cc,125,blanco y negro,1974,2016,1000
Tarragona,KYMCO,Xciting 400i,Scooters +125cc,399,,3000,2016,5000
Orense,KAWASAKI,ZZR 1100,Sport,1100,Negro,45900,1993,3250
Barcelona,BMW,R 1200 RT,Turismo,1200,Plata,143000,2009,7800
Girona,KAWASAKI,Z 1000 SX,Turismo,1043,Negro,11700,2013,8900
Badajoz,KTM,690 DUKE,Naked,690,naranja y negra,11877,2012,5599
Barcelona,YAMAHA,Majesty 400,Scooters +125cc,395,,54000,2007,1990
A Coruna,TRIUMPH,SPRINT ST,Turismo,955,,42000,2005,3500
Tarragona,KYMCO,Xciting 400i,Scooters +125cc,399,,2770,2015,4500
Valencia,APRILIA,Dorsoduro 750,Supermotard,750,blanco,7000,2014,6200
Castellon,HUSABERG,FE 390,Enduro,393,,11000,2011,3300
Lleida,HONDA,CBR 1100 XX,Sport,1137,Rojo,80000,1999,3500
Valladolid,DAELIM,Daystar 125 FI Black Plus,Custom,124,,9000,2012,1300
Barcelona,KAWASAKI,Z 750R,Naked,748,,10000,2011,4800
Zaragoza,DAELIM,S1 125,Scooter 125cc,124,gris,12000,2009,1250
Madrid,BMW,F 650 CS Scarver,Turismo,652,,35531,2004,1700
Lleida,KAWASAKI,KLE 500,Trail,500,,57000,1992,1500
Barcelona,KAWASAKI,Z 750,Naked,748,negra,20000,2010,3800
Barcelona,YAMAHA,YZ 450 F,Cross,450,AZUL,,2012,3499
A Coruna,KAWASAKI,KX 80,Infantil,79,verde,1000,1998,900
Jaen,YAMAHA,YZF R1,Sport,998,Monster,28000,2011,10500
Murcia,KYMCO,Agility CITY 125,Scooter 125cc,125,gris titanio,19400,2014,1300
Baleares,HARLEY DAVIDSON,Softail Breakout,Custom,1690,negro mate,20000,2014,16000
Madrid,YAMAHA,T-Max 530,Scooters +125cc,530,solar black,22400,2012,7900
Barcelona,SUZUKI,SV 650,Naked,645,,42000,2006,2900
Caceres,SHERCO,300 SEF-R,Enduro,304,FACTORY Racing,3547,2014,5000
Barcelona,PEUGEOT,SATELIS 250 EXECUTIVE,Scooters +125cc,244,roja,19000,2007,1400
Barcelona,YAMAHA,XJ 900,Turismo,900,azul,130000,1983,2200
Valladolid,KAWASAKI,ER 6N,Naked,649,Blanca,20900,2011,3699
Zaragoza,HONDA,VFR 800 FI ABS,Sport,781,Plata,96476,2007,3900
Guipuzcoa,YAMAHA,X-CITY 125,Scooter 125cc,125,negra,28000,2008,1990
Burgos,GAS GAS,TXT EDITION 280,Trial,272,,1000,2003,1300
Barcelona,BMW,R 1200 GS 98cv,Trail,1170,negro-plata,55000,2007,7800
Girona,SUZUKI,Gladius 650,Naked,645,plata y negra,24000,2012,4000
Guadalajara,YAMAHA,YZF R6,Sport,599,Roja-blanca,43000,2001,2500
Ciudad Real,HYOSUNG,GV 125 AQUILA,Custom,124,negro,768,2011,1800
Alicante,SUZUKI,BURGMAN 650 Executive,Scooters +125cc,638,gris,70000,2007,4100
Madrid,HONDA,CBR 600 RR,Sport,600,Blanco,42000,2009,6000
Madrid,PIAGGIO,X7 EVO 300 ie,Scooters +125cc,278,blanco,55300,2010,1600
Sta. C. Tenerife,HONDA,VARADERO XL1000V,Trail,996,,89000,2007,3300
Sta. C. Tenerife,SUZUKI,VanVan 125,Naked,125,rojo,3600,2015,2999
Madrid,YAMAHA,YP Majesty 400,Scooters +125cc,395,,43000,2004,2500
Madrid,HONDA,FORZA 250 X,Scooters +125cc,250,Negra,65000,2006,1200
Caceres,YAMAHA,XV950 BOLT RACER 60th anniv,Custom,942,,,2016,9250
Albacete,BMW,R 1200 GS 105cv,Trail,1170,NEGRA,50000,2008,9500
Murcia,BMW,F 800 S,Naked,798,,30000,2006,3900
Alava,HONDA,SW T600 ABS,Scooters +125cc,600,Negro,15000,2012,5500
Orense,DERBI,Variant 50,Ciclomotor,50,,158000,1987,300
Valencia,BMW,R 1200 R,Turismo,1170,,1,2016,60
Pontevedra,HONDA,X11 1100,Naked,1137,Azul,25000,2000,3700
Navarra,SUZUKI,GSR 600,Naked,599,gris,89100,2006,2100
Barcelona,YAMAHA,Majesty,Scooter 125cc,124,blanco,10600,2014,2300
Valencia,SUZUKI,GS 500,Naked,487,Azul,69000,2004,1500
A Coruna,YAMAHA,XJR 1200,Naked,1188,negro,43000,1997,4500
Cantabria,HONDA,S-WING 125,Scooter 125cc,125,Negro,22497,2007,1900
Zaragoza,KAWASAKI,VULCAN 500,Custom,500,Negra,24000,1993,2500
Guadalajara,YAMAHA,X-MAX 125,Scooter 125cc,124,,1800,2016,4300
Asturias,SUZUKI,Intruder VS 800,Custom,800,Rojo,46561,1995,3000
Madrid,DUCATI,GT 1000,Naked,992,negro,10000,2010,7750
Girona,RIEJU,MARATHON AC 125,Enduro,125,redbull,938,2016,1900
Lleida,HONDA,CB 750 Seven Fifty,Sport,750,,70000,1996,3650
Barcelona,SUZUKI,DR Z 400 E,Enduro,398,"amarillo, rojo,negro",11000,2008,2800
Barcelona,BMW,R 1100 GS,Trail,1085,Colores Motorrad,134000,1997,4500
Barcelona,BMW,R 80 GS,Turismo,800,NEGRO,92000,1985,3500
Ciudad Real,DUCATI,HYPERMOTARD SP,Supermotard,821,,14500,2013,10900
Granada,YAMAHA,X-MAX 250,Scooters +125cc,249,AMARILLA,30000,2008,2400
Barcelona,HONDA,Passion 125i,Scooter 125cc,125,Blanco,40396,2010,1300
Lleida,HONDA,TRANSALP XL 650 V,Trail,647,PLATA,49437,2002,2500
Zaragoza,BMW,F 800 R,Naked,800,BLANCO,11400,2015,7900
Guipuzcoa,DUCATI,MULTISTRADA 1000 DS,Trail,992,ROJO,37000,2004,4995
Barcelona,YAMAHA,FZ6 S S2 ABS,Turismo,600,Azul,48000,2008,3650
Malaga,SUZUKI,Intruder M1800R,Custom,1783,Negro,43000,2007,7500
Alava,HONDA,VARADERO XL1000V,Trail,996,,57000,2008,5800
Valencia,KYMCO,Zing II Darkside 125,Custom,125,Negro,11129,2013,1500
Madrid,HONDA,VFR 1200 F,Turismo,1237,Blanco,37000,2010,9700
Alicante,HARLEY DAVIDSON,Sportster 1200 Custom,Custom,1202,amarillo,49000,2007,7500
Jaen,BMW,R 1200 GS 105cv,Trail,1170,,92000,2009,9000
Segovia,YAMAHA,XVS 1100 A Drag Star Classic,Custom,1063,AZUL,29700,2005,4400
Girona,HONDA,CBF 1000,Turismo,998,negro,90000,2006,3499
Zamora,KYMCO,K-XCT 125i,Scooter 125cc,124,,1,2015,2900
Vizcaya,TGB,203 50,Scooters 50cc,49,GRIS PLATA,4300,2005,600
Madrid,BMW,R 1200 GS,Trail,1170,gris,15300,2014,14800
Madrid,MOTOR HISPANIA,Furia Max Enduro,Con marchas,50,,11300,2009,900
Madrid,YAMAHA,MT-07,Naked,689,blue raxe,7500,2016,5800
Barcelona,TRIUMPH,SPEED TRIPLE,Naked,955,negro,56800,2000,1400
Madrid,SUZUKI,GSR 750,Naked,749,,20500,2011,5000
Barcelona,APRILIA,RS 125,Sport,124,,8900,2007,2200
Barcelona,HONDA,PCX 125,Scooter 125cc,125,,8300,2015,2200
Madrid,KYMCO,Xciting 400i,Scooters +125cc,399,Todos,1,2015,5910
Lleida,PIAGGIO,FLY 125,Scooter 125cc,124,PLATA,41396,2005,1100
Asturias,HONDA,CB 600F HORNET,Naked,599,,31000,2007,3500
Barcelona,YAMAHA,X MAX 250,Scooters +125cc,249,Gris,22100,2006,2250
Madrid,HARLEY DAVIDSON,Sportster 883,Custom,883,Negro,8300,2013,8500
Madrid,KYMCO,K-XCT 125i,Scooter 125cc,124,Negro,3000,2015,2749
Barcelona,KAWASAKI,Vulcan S,Custom,649,negro,3400,2015,5800
Pontevedra,SUZUKI,BURGMAN 125,Scooter 125cc,124,negro,29000,2008,1500
Barcelona,KTM,SX 450 F,Cross,449,,100,2016,5800
Alicante,SUZUKI,Intruder 250 LC,Custom,248,,26000,2005,1500
Asturias,HONDA,CBF 600N,Naked,599,,27000,2006,2300
Leon,GAS GAS,EC 250 F Racing,Enduro,250,,105,2016,5200
Madrid,HARLEY DAVIDSON,Sportster 883 Low,Custom,883,negra y cromo,5000,2007,6900
Sevilla,YAMAHA,FZ6 S S2,Turismo,600,azul,42000,2008,3000
Barcelona,GAS GAS,EC 250,Enduro,250,amarillo,5000,1998,1000
Tarragona,YAMAHA,FZ6 S S2,Turismo,600,negra,40000,2007,3000
Caceres,YAMAHA,Tricity,Scooter 125cc,125,,1550,2015,2999
Madrid,BMW,F 800 ST,Turismo,798,Azul,80000,2007,3300
Asturias,BMW,F 800 ST,Turismo,798,AZUL,61000,2006,4100
Malaga,HONDA,NC 750,Naked,745,Negro y gris mate,850,2016,5700
Cordoba,YAMAHA,DT 125 RE,Enduro,124,banca y azul,11000,2008,2200
Guadalajara,DUCATI,MONSTER 696+,Naked,696,Blanco Perla,22000,2008,5500
Barcelona,YAMAHA,X enter Urban Edition,Scooter 125cc,125,Negro / Gris,20050,2011,1650
Valencia,KAWASAKI,Z 800e ABS,Naked,800,Verde,9900,2015,7350
Madrid,KYMCO,Super Dink 300I ABS,Scooters +125cc,299,,7900,2014,3000
Cordoba,SUZUKI,DR Z 400 S,Trail,398,amarilla,5700,2006,2700
Girona,DUCATI,MONSTER 796,Naked,796,,23000,2010,6500
Cordoba,YAMAHA,Tracer 700,Trail,689,NEGRO MATE,126,2016,7000
Madrid,BMW,F 700 GS,Trail,798,Rojo negro,11000,2015,9000
Madrid,KYMCO,Xciting 400i,Scooters +125cc,399,Todos,1,2015,5399
Barcelona,HONDA,CBF 500,Naked,499,Gris,61000,2005,2200
Asturias,SUZUKI,GS 500F,Turismo,487,AZUL,59000,2006,2100
Barcelona,BMW,F 650 GS,Trail,798,Rojo,9030,2008,5999
Madrid,KAWASAKI,ZX 6R,Sport,599,verde,12108,2009,5990
Barcelona,YAMAHA,YZF R6,Sport,600,blanco,57000,2005,2750
Malaga,KTM,390 Duke,Naked,375,,9000,2014,4200
Leon,HONDA,VT 750 C2 Shadow,Custom,750,,5000,2010,6999
Valencia,HONDA,CRF1000L Africa Twin,Trail,998,A ELEGIR,1,2017,13795
Guipuzcoa,SUZUKI,BURGMAN 125,Scooter 125cc,124,azul,39000,2005,1490
Baleares,YAMAHA,X MAX 125,Scooter 125cc,124,Negro,29000,2009,2400
Cadiz,KAWASAKI,Z 1000,Naked,1043,azul,19345,1977,4500
Granada,YAMAHA,FZ6 S,Turismo,600,Gris,39000,2005,2800
Baleares,APRILIA,Pegaso 650 Trail,Trail,660,,41000,2005,111
Granada,RAV,ROAN Racing 110cc,Cross,110,blanca y roja,500,2016,440
Barcelona,HONDA,Passion 150 I.E.,Scooters +125cc,153,gris,27500,2006,1450
Murcia,YAMAHA,T-Max 500,Scooters +125cc,499,black max,34000,2007,4500
Girona,SUZUKI,GSF 400 Bandit,Naked,400,,79000,1994,495
Toledo,BMW,R 1200 RT,Turismo,1170,NEGRO EBANO,3900,2014,18900
Sta. C. Tenerife,HONDA,GL 1800 Goldwing,Turismo,1800,rojo/granate,78000,2002,14000
Sevilla,KTM,SX 250,Cross,124,,20000,2005,1750
Cantabria,HONDA,CBR 600F,Sport,599,,90000,2000,1500
Vizcaya,KAWASAKI,GTR 1400 Grand Tourer,Turismo,1352,negro,43000,2012,10500
Madrid,HONDA,VFR 750,Sport,750,Gris y negro,55000,1992,1800
Barcelona,BMW,C 650 GT,Scooters +125cc,647,,5800,2016,9500
Barcelona,HONDA,SCOOPY SH300i,Scooters +125cc,279,negro,53000,2009,2600
Caceres,SUZUKI,GSR 600,Naked,599,Gris y negra,14748,2006,3000
Valencia,HONDA,CBX 750,Sport,750,,81954,1984,2999
Sevilla,BMW,R 1150 GS Adventure,Trail,1130,GRIS Y ROJA,91000,2004,5500
Alicante,KEEWAY,RKV 125,Naked,124,blanco,540,2015,1699
Madrid,BMW,G 650 Xmoto,Supermotard,652,Roja,30000,2007,3650
Barcelona,HONDA,PAN-EUROPEAN ST 1300 ABS,Turismo,1261,azul,29400,2005,8500
Madrid,HONDA,CB 650F,Naked,649,HRC,13000,2016,6599
Madrid,VESPA,Primavera,Scooter 125cc,124,Gris metal,90,2016,3500
Barcelona,SUZUKI,V-Strom 650 ABS,Trail,650,negro,21000,2010,4800
Barcelona,HONDA,VFR 1200 F DCT,Turismo,1237,blanco,54800,2011,8500
Cordoba,YAMAHA,DT 125 RE,Enduro,124,blanca y azul,11000,2007,2200
Madrid,BMW,R 1150 RT,Turismo,1130,plata,110000,2004,6000
Valencia,SUZUKI,GSR 600,Naked,599,,27600,2006,3500
Barcelona,YAMAHA,X MAX 125,Scooter 125cc,125,Blanca,20000,2013,2300
Asturias,DUCATI,Monster 900,Naked,904,Gris,33800,2002,4700
Barcelona,TRIUMPH,STREET TRIPLE,Naked,675,,9000,2014,6000
Vizcaya,DAELIM,Roadwin 125,Naked,124,negra,22500,2007,800
Guipuzcoa,HYOSUNG,GT 250R,Sport,249,amarilla,27000,2006,1290
Guipuzcoa,YAMAHA,TZR 50,Con marchas,50,negra,11000,2007,1490
Guipuzcoa,SUZUKI,GSX R600,Sport,599,azul,55000,2008,4490
Asturias,SUZUKI,GSX 650 F,Turismo,650,Negro,43640,2008,2900
Madrid,HARLEY DAVIDSON,Sportster 1200R,Custom,1202,NEGRO,13300,2009,7500
La Rioja,DUCATI,MONSTER 796 ABS,Naked,803,Rojo,28000,2012,7000
Lleida,QINGQI,URBAN 125,Scooter 125cc,125,GRIS,1800,2013,900
Alicante,HONDA,XL 125 Varadero,Trail,124,Naranja,30000,2006,1500
Sevilla,KAWASAKI,EN 500,Custom,500,,53100,1992,2000
Salamanca,HONDA,XRV 750 AFRICA TWIN,Trail,742,,,1997,4000
Valencia,KYMCO,Bet & Win 125,Scooter 125cc,125,,18150,2006,1100
Granada,HONDA,FMX 650,Supermotard,644,Negro y Blanco,13200,2007,2900
Cordoba,BMW,F 800 ST,Turismo,798,azul,23800,2006,5200
Alicante,APRILIA,Pegaso 650,Trail,652,Purpura,50890,2004,1450
Guipuzcoa,KAWASAKI,ZX 10R,Sport,998,verde,45000,2007,5490
Barcelona,PIAGGIO,LIBERTY 125 4T,Scooter 125cc,124,,28000,2011,1200
Alicante,SUZUKI,TU 250 X,Turismo,249,,23300,1997,1500
Malaga,YAMAHA,FZ6 N S2 ABS,Naked,600,BLANCO,31400,2008,3300
Las Palmas,SUZUKI,VanVan 125,Naked,124,gris,8500,2010,2700
Sevilla,SUZUKI,V-Strom 650,Trail,645,Negro Mate,25450,2007,4100
Tarragona,HONDA,CB 600F HORNET,Naked,599,NEGRO,40000,2009,3495
Madrid,SUZUKI,BURGMAN 650 Executive,Scooters +125cc,638,Negro,45000,2010,4990
Madrid,BMW,F 800 GS,Trail,798,Kalamata,18500,2014,9300
Malaga,SUZUKI,V-Strom 650,Trail,645,azul,49500,2006,3900
Valencia,YAMAHA,X MAX 250,Scooters +125cc,250,Negro mate,24000,2012,3000
Badajoz,BMW,R 1150 R Rockster,Turismo,1130,Naranja,19000,2005,3300
Baleares,KAWASAKI,Eliminator 125,Custom,124,NEGRO,5000,2008,1850
Vizcaya,SUZUKI,V-Strom 1000,Trail,996,,69000,2004,3000
Barcelona,HARLEY DAVIDSON,Sportster 1200R,Custom,1202,,55000,2008,6700
Barcelona,YAMAHA,XVS 1300 A Midnight Star,Custom,1304,,91000,2007,5500
Madrid,VESPA,Gran Turismo 125,Scooter 125cc,124,Gris,32500,2005,2599
Madrid,BMW,C 650 GT,Scooters +125cc,647,NEGRO,29400,2013,7300
Guipuzcoa,BMW,F 800 GS Adventure,Trail,798,BLANCO ALPINO - 751,15000,2015,12895
Valencia,BMW,F 800 GS,Trail,798,blanca,51000,2011,6900
Orense,DUCATI,900 SS,Sport,904,Rojo,58600,1999,3100
Barcelona,HONDA,@ 125,Scooter 125cc,124,Rojo y negra,400000,2005,950
Madrid,BETA,EVO 80,Trial,80,,,2015,2900
Avila,YAMAHA,YZF R6,Sport,600,,24000,2007,4000
Cadiz,HARLEY DAVIDSON,Sportster 1200 Low,Custom,1200,gris,22000,2010,9000
Las Palmas,YAMAHA,TDM 900 ABS,Turismo,897,rojo,43000,2008,4500
Caceres,SUZUKI,BURGMAN 125,Scooter 125cc,125,negra mate,948,2015,2990
Cadiz,HONDA,CB 600F HORNET,Naked,600,,48000,2005,2500
Barcelona,HONDA,SCOOPY SH125i,Scooter 125cc,125,,17500,2008,2000
Pontevedra,VESPA,LX 125 ie,Scooter 125cc,124,rosa,19085,2011,1950
Madrid,BMW,R 1200 GS Adventure,Trail,1170,gris,15000,2011,14000
Barcelona,HONDA,FORZA 250 EX,Scooters +125cc,250,Gris metalizado,40800,2007,1750
Barcelona,YAMAHA,X MAX 125,Scooter 125cc,124,NEGRO,65500,2006,700
Almeria,KAWASAKI,Versys,Trail,649,,14000,2015,6900
Zaragoza,INDIAN,Chief,Custom,1811,blanco perla,1,2017,23600
Valencia,HARLEY DAVIDSON,Sportster XR 1200,Custom,1200,Naranja,36000,2009,7200
Cordoba,BENELLI,49 X,Scooters 50cc,49,Rojo,11135,2011,900
Valencia,YAMAHA,FZ6 N,Naked,600,negro,45000,2004,2200
Leon,KYMCO,Grand Dink 250,Scooters +125cc,250,NEGRO,6000,2007,1400
La Rioja,HYOSUNG,GT 250,Naked,249,Amarillo,45000,2005,1100
Madrid,HONDA,CRF 250R,Cross,250,rojo,1500,2009,2850
Alava,YAMAHA,SR 250,Custom,250,,21000,1983,1200
Madrid,YAMAHA,XT 600 E,Trail,600,,50000,1992,1250
Madrid,VESPA,PX 125,Scooter 125cc,123,amarillo,1200,2002,2400
Granada,HYOSUNG,GT 250,Naked,249,,33000,2005,650
Jaen,HONDA,S-WING 125,Scooter 125cc,125,,14000,2010,1899
Madrid,DUCATI,MONSTER 696+ Art,Naked,696,rojo,35000,2012,5000
Madrid,KAWASAKI,VN 900 CLASSIC,Custom,903,,28650,2008,4500
La Rioja,YAMAHA,YZF R1,Sport,998,Azul,32000,2006,5990
Madrid,YAMAHA,T-Max 500,Scooters +125cc,499,negra,72500,2004,3790
Vizcaya,APRILIA,Mana 850 ABS,Naked,839,Blanca,42000,2010,4400
Burgos,BMW,F 800 R,Naked,800,AZUL,10000,2013,6500
Barcelona,HONDA,SCOOPY SH300i,Scooters +125cc,279,Negro,52000,2008,2800
Leon,HONDA,CB 600F HORNET,Naked,600,,26700,2006,3000
Barcelona,BMW,R 1150 GS,Trail,1130,Amarillo,44000,2003,7500
Valladolid,SUZUKI,TU 250 X,Turismo,249,gris,11950,1997,1690
Valencia,GILERA,GP 800,Scooters +125cc,800,Blanco,38000,2011,3600
Cadiz,HARLEY DAVIDSON,Street 750,Custom,749,,9000,2016,6200
Zaragoza,PIAGGIO,MP3 300 Yourban LT Sport,Scooters +125cc,278,Gris,9478,2013,4000
Barcelona,YAMAHA,Why 50,Scooters 50cc,49,azul oscuro,29000,2005,550
Valencia,SUZUKI,Marauder 125,Custom,125,,3227,2012,2500
Madrid,KAWASAKI,ZX 6R 636,Sport,636,verde,37000,2006,3000
Malaga,YAMAHA,FJR 1300,Turismo,1298,Azul,69600,2006,5200
Valencia,VESPA,GTS 250 ie,Scooters +125cc,244,,15800,2008,2750
Madrid,HYOSUNG,GT 125 Comet,Naked,125,Blanco,19904,2011,1500
Barcelona,HONDA,NC 700 S ABS,Naked,670,negro,55000,2012,3900
Madrid,HONDA,VFR 750 F,Sport,748,BICOLOR,26000,1998,4000
Barcelona,SUZUKI,GS 500F,Turismo,487,azul y blanca,26800,2007,1900
Madrid,KYMCO,Venox 250,Custom,249,Negro,30000,2007,1400
Madrid,PIAGGIO,X10 350 ie,Scooters +125cc,350,marron,12000,2013,4500
Tarragona,SUZUKI,GSX R600,Sport,599,rojo y negro,16100,2006,4600
Murcia,APRILIA,Arrecife 500,Scooters +125cc,460,GRIS,59000,2002,1150
Castellon,HARLEY DAVIDSON,Dyna Fat Bob,Custom,1584,NEGRA,14000,2010,12000
Madrid,YAMAHA,XV 535 Virago,Custom,535,NEGRO,77000,1991,2200
Cantabria,SUZUKI,Bandit 650 S,Turismo,656,azuk,20000,2007,3500
A Coruna,KAWASAKI,ER 6N  ABS,Naked,649,negro,68000,2007,2750
Salamanca,SUZUKI,Intruder 250 LC,Custom,248,negro,9100,2009,2200
Tarragona,TRIUMPH,TIGER 800,Trail,799,,27000,2011,7500
Valencia,PIAGGIO,VESPA LX 50,Scooters 50cc,50,negra,31000,2001,950
Madrid,YAMAHA,MT-07 MOTO CAGE,Naked,689,Blue race,7500,2016,5800
Barcelona,YAMAHA,XJR 1200,Naked,1188,Negro\amarillo,50000,1998,3500
Tarragona,SUZUKI,BURGMAN 250,Scooters +125cc,250,,44000,2007,1500
Barcelona,BMW,R 1200 GS Adventure 105cv,Trail,1170,,64500,2008,10500
Madrid,SUZUKI,GSX R1000,Sport,999,,27000,2005,5000
Almeria,HONDA,SLR 650,Trail,644,verde,72000,1999,1700
Madrid,HONDA,SCOOPY SH150i,Scooters +125cc,152,Negro,42000,2005,1200
Girona,HONDA,CRF 450R,Cross,450,rojo,,2010,3000
Murcia,TRIUMPH,Street Triple R,Naked,675,Blanca-Roja,2230,2016,8450
Valencia,HANWAY,Raw 50,Naked,49,,2167,2016,999
Madrid,KAWASAKI,ER 6F,Turismo,649,Negra,14900,2011,4100
Barcelona,YAMAHA,SR 125 Special,Custom,125,Marfil,100,1987,2500
Barcelona,HONDA,Passion 125 I.E.,Scooter 125cc,124,Blanca,50000,2007,890
Sevilla,SYM,Citycom 300i,Scooters +125cc,298,,50000,2009,800
Barcelona,BMW,C 650 GT,Scooters +125cc,647,Negro Zafiro,13100,2014,6900
Tarragona,YAMAHA,XVS 650 A Drag Star Classic,Custom,650,BITONO,39000,2006,3895
Tarragona,YAMAHA,FZ8 N,Naked,779,NEGRO,29000,2012,4895
Zaragoza,MASH,CAFE RACER BLACK 125,Naked,125,NEGRO MATE Y GRIS,,2016,2445
Barcelona,HONDA,S-WING 125,Scooter 125cc,125,PLATA/AZUL,37531,2008,1800
Valencia,HONDA,NC 750 X,Trail,745,consultar,1,2017,7795
Girona,YAMAHA,X MAX 250,Scooters +125cc,249,NEGRA,52595,2008,2000
Granada,PIAGGIO,MP3 500 Sport,Scooters +125cc,493,,1,2016,7999
Murcia,KTM,990 SUPER DUKE,Naked,990,NARANJA,10610,2006,5400
Alicante,APRILIA,Arrecife 125,Scooter 125cc,124,negra,30906,2004,1000
Barcelona,YAMAHA,T-Max 500,Scooters +125cc,499,Gris Mate,32000,2008,6100
Sevilla,SUZUKI,GSF Bandit 650 ABS,Naked,656,Negro,25000,2011,3800
Guipuzcoa,KYMCO,Grand Dink 300,Scooters +125cc,276,blanco,850,2016,3300
Pontevedra,KAWASAKI,NINJA ZX-6R 636 KTR Edition,Sport,636,,62000,2002,2200
Girona,KTM,EXC 250,Enduro,249,,7500,2009,3200
Toledo,BMW,R nineT,Naked,1170,Negro Tormenta,,2017,15969
Pontevedra,HONDA,CBF 600 NA,Naked,600,rojo metalizado,38000,2007,3400
Madrid,YAMAHA,XJ6 Diversion N,Naked,600,blanca,36000,2012,4490
Madrid,HARLEY DAVIDSON,Dyna Street Bob,Custom,1585,,52000,2006,8500
Barcelona,APRILIA,RS 125,Sport,125,negra,43000,2016,1800
Asturias,SUZUKI,GS 500,Naked,500,amarilla,44000,1989,1350
Barcelona,KAWASAKI,Z 750 ABS,Naked,748,azul,46000,2010,4500
Valencia,YAMAHA,Majesty 125,Scooter 125cc,125,Azul,12000,2005,1290
Leon,HONDA,PAN-EUROPEAN ST 1100,Turismo,1100,Gris,43000,1994,3450
Valencia,SUZUKI,Marauder 250,Custom,249,Verde,13000,1999,999
Huelva,DAELIM,Roadwin 125 FI,Naked,124,,14500,2011,1500
Jaen,SUZUKI,VL 800 Intruder Volusia,Custom,805,Negro,20000,2006,4500
Girona,KYMCO,Xciting 500,Scooters +125cc,498,gris,48000,2005,1600
Tarragona,PIAGGIO,TYPHOON 50 2T,Scooters 50cc,49,negro,17000,2015,890
Barcelona,KYMCO,Quannon 125,Sport,124,,2177,2009,1399
Barcelona,KTM,690 SUPERMOTO,Supermotard,654,,14000,2008,4700
Alicante,HONDA,Integra,Scooters +125cc,700,GRIS MATE,37000,2012,5900
Madrid,BENELLI,TNT Cafe Racer 1130,Naked,1130,DORADO,67400,2007,4500
Madrid,KYMCO,Agility 125,Scooter 125cc,125,blanco,20000,2011,750
Madrid,SUZUKI,GSF Bandit 650 ABS,Naked,656,Negro,57000,2008,3000
Toledo,BMW,R 1200 GS Adventure,Trail,1170,NEGRO TORMENTA METALIZADO,,2017,21272
Barcelona,YAMAHA,YP Majesty 400,Scooters +125cc,395,Azul,92500,2006,2100
Toledo,GAS GAS,EC 250 2T,Enduro,249,,8000,2004,2100
Barcelona,CAGIVA,Roadster 125,Custom,124,NEGRA,6600,2003,1300
Madrid,HONDA,CB 600 S,Naked,599,Azul,56000,2003,1900
Barcelona,SHERCO,ST 305,Trial,294,azul-amarillo,20,2014,3000
Malaga,SUZUKI,GSX 400 L,Custom,399,Azul y gris,30000,1992,3100
Valencia,HARLEY DAVIDSON,CVO Softail Springer,Custom,1450,,22050,2005,14500
Tarragona,HONDA,FMX 650,Supermotard,644,,38000,2006,2500
Jaen,HONDA,CBF 125,Turismo,125,blanco,3000,2015,2000
Valladolid,KAWASAKI,NINJA 250 R,Sport,250,VERDE LIMA,18000,2009,2250
Valencia,SUZUKI,UF Estilete 50,Scooters 50cc,49,,143298,2002,350
Madrid,HONDA,VFR 800 FI,Sport,781,GRIS,54000,2004,4400
Malaga,HONDA,TRANSALP XL 650 V,Trail,647,Negro,25000,2006,3495
Alicante,SUZUKI,AN 650 Burgman,Scooters +125cc,638,Rojo,49000,2003,3800
Guipuzcoa,YAMAHA,FZ1 S FAZER,Naked,998,GRANATE/NEGRO,60000,2007,5395
Barcelona,YAMAHA,T-Max 500,Scooters +125cc,499,negro y rojo,21000,2006,4400
Barcelona,SUZUKI,BURGMAN 400,Scooters +125cc,399,gris,48000,2007,2350
Burgos,TRIUMPH,SPEED TRIPLE,Naked,1050,negro,46000,2008,5300
Madrid,KAWASAKI,Versys,Trail,649,,11000,2015,6500
Valladolid,HONDA,NC 700 S ABS,Naked,670,negra,24014,2012,4000
Valencia,GILERA,GP 800,Scooters +125cc,800,,33500,2010,4600
Asturias,BMW,R 1200 GS Adventure,Trail,1170,blanca,64000,2011,12500
Barcelona,BUELL,Firebolt XB 12R,Naked,1203,negra,48000,2006,4500
Orense,PEUGEOT,SV 50,Scooters 50cc,49,ROJO,1600,1995,700
Barcelona,HONDA,SCOOPY SH150i,Scooters +125cc,152,Negro,19000,2003,1600
Zaragoza,HONDA,CBF 1000,Turismo,998,Plata,28000,2007,4500
Zaragoza,KAWASAKI,Z 800 ABS,Naked,800,blanco negro,14300,2016,7600
Madrid,SUZUKI,Bandit 650,Naked,656,Negro,26500,2010,4200
Ciudad Real,AIYUMO,NASSAU,Scooter 125cc,1125,NEGRO,13000,2011,1250
Tarragona,KTM,690 SUPERMOTO,Supermotard,654,Negro y Gris,18000,2007,3500
Sevilla,BMW,F 800 GS,Trail,798,blanco,23078,2013,8500
Malaga,YAMAHA,T-Max 500,Scooters +125cc,499,negro,56000,2001,2900
Zaragoza,KYMCO,K XCT 300i,Scooters +125cc,299,,2100,2014,3000
Baleares,BMW,R 1200 GS,Trail,1170,,49000,2009,10250
Badajoz,DUCATI,1098 S,Sport,1099,Rojo Ducati,7500,2008,9500
