city;brand;model;type;cc;color;km;year;price;url
Zaragoza;YAMAHA;YZF R 125;Sport;124;NEGRA;15000;2008;2599;http://motos.net/ocasion/yamaha/yzf_r_125/2008-en-zaragoza-6466182.htm
Valencia;KYMCO;Super Dink 350i;Scooters +125cc;349;GRIS;4000;2014;3500;http://motos.net/ocasion/kymco/super_dink_350i/2014-en-valencia-6462831.htm
Barcelona;HONDA;SCOOPY SH125;Scooter 125cc;125;Negro;31700;2003;1695;http://motos.net/ocasion/honda/scoopy_sh125/2003-en-barcelona-6445368.htm
Barcelona;HONDA;SCOOPY SH125;Scooter 125cc;125;NEGRO;36600;2006;1795;http://motos.net/ocasion/honda/scoopy_sh125/2006-en-barcelona-6424075.htm
Barcelona;HONDA;PANTHEON 125;Scooter 125cc;125;NEGRO;46513;2006;1495;http://motos.net/ocasion/honda/pantheon_125/2006-en-barcelona-6423997.htm
Barcelona;HONDA;PAN-EUROPEAN ST 1300 ABS;Turismo;1261;GRIS PLATA;78000;2003;7800;http://motos.net/ocasion/honda/pan__european_st_1300_abs/2003-en-barcelona-6404271.htm
Barcelona;HONDA;NSS 300 Forza ABS;Scooters +125cc;279;BLANCA;31000;2013;3800;http://motos.net/ocasion/honda/nss_300_forza_abs/2013-en-barcelona-6347878.htm
Barcelona;HONDA;Lead 100;Scooter 125cc;100;plata;37000;2005;990;http://motos.net/ocasion/honda/lead_100/2005-en-barcelona-6358391.htm
Barcelona;HONDA;FORZA 250 EX;Scooters +125cc;250;LILA OSCURO;52121;2005;1895;http://motos.net/ocasion/honda/forza_250_ex/2005-en-barcelona-6418866.htm
Madrid;BMW;R 1200 GS;Trail;1170;gris / negra;34000;2011;12000;http://motos.net/ocasion/bmw/r_1200_gs/2011-en-madrid-6466120.htm
Teruel;HUSABERG;FE 450;Enduro;449;amarilla y azul;18000;2008;2900;http://motos.net/ocasion/husaberg/fe_450/2008-en-teruel-6466111.htm
Barcelona;HONDA;CBF 600N;Naked;599;PLATA;89000;2004;2590;http://motos.net/ocasion/honda/cbf_600n/2004-en-barcelona-6360125.htm
Valencia;HONDA;VT 750 S;Custom;745;gris;9986;2010;4800;http://motos.net/ocasion/honda/vt_750_s/2010-en-valencia-6384017.htm
Barcelona;HONDA;CBF 600N;Naked;599;Plata;17524;2005;3795;http://motos.net/ocasion/honda/cbf_600n/2005-en-barcelona-6447529.htm
Barcelona;HONDA;CBF 250;Naked;249;plata;50000;2005;1500;http://motos.net/ocasion/honda/cbf_250/2005-en-barcelona-6331423.htm
Barcelona;HONDA;CBF 500;Naked;499;Azul Metalizado;45000;2005;2800;http://motos.net/ocasion/honda/cbf_500/2005-en-barcelona-6449550.htm
Malaga;BMW;R 1200 S;Sport;1170;negro y gris;24700;2008;7900;http://motos.net/ocasion/bmw/r_1200_s/2008-en-malaga-6466154.htm
Barcelona;BMW;F 800 GS;Trail;798;BLANCO;5700;2014;9495;http://motos.net/ocasion/bmw/f_800_gs/2014-en-barcelona-6402844.htm
Tarragona;YAMAHA;MT 03;Naked;660;Negro;18853;2007;3300;http://motos.net/ocasion/yamaha/mt_03/2007-en-tarragona-6466164.htm
Barcelona;BMW;F 650 GS;Trail;798;Negro;30000;2006;3800;http://motos.net/ocasion/bmw/f_650_gs/2006-en-barcelona-6431436.htm
Barcelona;BMW;F 650 CS Scarver;Turismo;652;Metalizado;44500;2005;2995;http://motos.net/ocasion/bmw/f_650_cs_scarver/2005-en-barcelona-6436362.htm
Toledo;YAMAHA;YZF 1000 R Thunderace;Sport;1002;;46000;1997;2800;http://motos.net/ocasion/yamaha/yzf_1000_r_thunderace/1997-en-toledo-6382342.htm
Barcelona;BMW;F 650 GS;Trail;798;Negro;30000;2006;3800;http://motos.net/ocasion/bmw/f_650_gs/2006-en-barcelona-6431436.htm
Barcelona;BMW;F 650 CS Scarver;Turismo;652;Metalizado;44500;2005;2995;http://motos.net/ocasion/bmw/f_650_cs_scarver/2005-en-barcelona-6436362.htm
Toledo;YAMAHA;YZF 1000 R Thunderace;Sport;1002;;46000;1997;2800;http://motos.net/ocasion/yamaha/yzf_1000_r_thunderace/1997-en-toledo-6382342.htm
Barcelona;BMW;F 650 CS Scarver;Turismo;652;Azul;22074;2002;3395;http://motos.net/ocasion/bmw/f_650_cs_scarver/2002-en-barcelona-6452234.htm
Barcelona;YAMAHA;T-Max 500;Scooters +125cc;499;blanco;50000;2006;2500;http://motos.net/ocasion/yamaha/t__max_500/2006-en-barcelona-6466153.htm
Murcia;HONDA;CB 250 TWO FIFTY;Turismo;234;NEGRO;32700;2001;1050;http://motos.net/ocasion/honda/cb_250_two_fifty/2001-en-murcia-6466137.htm
Madrid;KTM;690 DUKE;Naked;690;NEGRO;21000;2013;4500;http://motos.net/ocasion/ktm/690_duke/2013-en-madrid-6466134.htm
Barcelona;HONDA;CBR 125R;Sport;125;negra;38666;2012;2200;http://motos.net/ocasion/honda/cbr_125r/2012-en-barcelona-6466136.htm
Sevilla;KEEWAY;Zahara 125;Scooter 125cc;124;CREMA;4000;2015;1400;http://motos.net/ocasion/keeway/zahara_125/2015-en-sevilla-6466160.htm
Huelva;BMW;R 1100 S;Sport;1085;Amarillo;76870;2002;3199;http://motos.net/ocasion/bmw/r_1100_s/2002-en-huelva-6466132.htm
Madrid;HONDA;Vision 50;Ciclomotor;50;BLANCA METALIZADA;12560;2012;850;http://motos.net/ocasion/honda/vision_50/2012-en-madrid-6466128.htm
Teruel;YAMAHA;YZF R6;Sport;600;Amarillo y blanco;31000;2009;3900;http://motos.net/ocasion/yamaha/yzf_r6/2009-en-teruel-6466127.htm
Madrid;HONDA;CB 750 Seven Fifty;Sport;750;Negro;1500;1992;9000;http://motos.net/ocasion/honda/cb_750_seven_fifty/1992-en-madrid-6466126.htm
Madrid;YAMAHA;FZ6 N;Naked;600;Azul;32000;2006;2900;http://motos.net/ocasion/yamaha/fz6_n/2006-en-madrid-6466119.htm
Alicante;DUCATI;916 BIPOSTO;Sport;916;AMARILLA;27996;1998;9500;http://motos.net/ocasion/ducati/916_biposto/1998-en-alicante-6462917.htm
Toledo;KAWASAKI;VN 900 CLASSIC;Custom;903;Negro;83767;2007;3750;http://motos.net/ocasion/kawasaki/vn_900_classic/2007-en-toledo-6466112.htm
Alicante;DUCATI;749 749;Sport;748;ROJA;16680;2005;6250;http://motos.net/ocasion/ducati/749_749/2005-en-alicante-6456086.htm
Albacete;DUCATI;MULTISTRADA 1200 S Touring;Trail;1198;gris negro;66000;2011;9500;http://motos.net/ocasion/ducati/multistrada_1200_s_touring/2011-en-albacete-6466074.htm
Madrid;BMW;R 1200 GS 105cv;Trail;1170;AZUL;101922;2009;8900;http://motos.net/ocasion/bmw/r_1200_gs_105cv/2009-en-madrid-6466156.htm
Madrid;QUADRO;3;Scooters +125cc;346;Blanco;;2016;7249;http://motos.net/ocasion/quadro/3/2016-en-madrid-6392157.htm
Caceres;BENELLI;TRK 502;Trail;502;ROJO, BLANCO, NEGRO;5999;2017;5999;http://motos.net/ocasion/benelli/trk_502/2017-en-caceres-6466149.htm
Zaragoza;HONDA;CB 500F ABS;Naked;471;BLANCA Y ROJA;13500;2015;4500;http://motos.net/ocasion/honda/cb_500f_abs/2015-en-zaragoza-6466148.htm
Barcelona;YAMAHA;FZ 750;Sport;750;BLANCA/ROJA;51000;1987;2800;http://motos.net/ocasion/yamaha/fz_750/1987-en-barcelona-6466145.htm
Madrid;TRIUMPH;TIGER 800 XC;Trail;799;NEGRO;8390;2016;9600;http://motos.net/ocasion/triumph/tiger_800_xc/x-2016-en-madrid-6466146.htm
Barcelona;HONDA;NT 700 DEAUVILLE ABS;Turismo;680;;72000;2007;4200;http://motos.net/ocasion/honda/nt_700_deauville_abs/2007-en-barcelona-6350413.htm
Barcelona;SUZUKI;B-KING 1340;Naked;1340;Gris;;2013;11500;http://motos.net/ocasion/suzuki/b__king_1340/2013-en-barcelona-6466142.htm
Barcelona;HONDA;DYLAN 150;Scooters +125cc;150;;44000;2003;1300;http://motos.net/ocasion/honda/dylan_150/2003-en-barcelona-6358533.htm
Barcelona;YAMAHA;Cygnus 125 X;Scooter 125cc;124;plata;37000;2005;1300;http://motos.net/ocasion/yamaha/cygnus_125_x/2005-en-barcelona-6449667.htm
Barcelona;BMW;R 850 R;Naked;848;;95000;2006;4500;http://motos.net/ocasion/bmw/r_850_r/2006-en-barcelona-6362740.htm
Madrid;BMW;F 800 R;Naked;800;GRIS;29000;2011;5490;http://motos.net/ocasion/bmw/f_800_r/2011-en-madrid-6466139.htm
Madrid;KYMCO;Super Dink 300i;Scooters +125cc;300;BLANCO;36794;2014;2999;http://motos.net/ocasion/kymco/super_dink_300i/2014-en-madrid-6437860.htm
Barcelona;HONDA;Lead 110;Scooter 125cc;108;BLANCO;33000;2008;1200;http://motos.net/ocasion/honda/lead_110/2008-en-barcelona-6424895.htm
Barcelona;HONDA;FORZA 250 X;Scooters +125cc;250;NEGRO;58000;2008;2250;http://motos.net/ocasion/honda/forza_250_x/2008-en-barcelona-6424898.htm
Caceres;BENELLI;TRK 502;Trail;502;BLANCO, NEGRO, ROJO;1;2017;5999;http://motos.net/ocasion/benelli/trk_502/2017-en-caceres-6466133.htm
Barcelona;HONDA;VFR 800;Sport;781;;41000;1999;3500;http://motos.net/ocasion/honda/vfr_800/1999-en-barcelona-6290226.htm
Barcelona;KYMCO;Xciting 500 R ABS;Scooters +125cc;498;BLANCO;34000;2010;2900;http://motos.net/ocasion/kymco/xciting_500_r_abs/2010-en-barcelona-6415834.htm
Valencia;HARLEY DAVIDSON;Sportster 1200;Custom;1202;;5;2017;24000;http://motos.net/ocasion/harley_davidson/sportster_1200/roadster-2017-en-valencia-6455878.htm
Barcelona;YAMAHA;X-CITY 250;Scooters +125cc;250;;14000;2011;3100;http://motos.net/ocasion/yamaha/x__city_250/2011-en-barcelona-6272768.htm
Barcelona;SUZUKI;GSR 600;Naked;599;;49000;2006;2999;http://motos.net/ocasion/suzuki/gsr_600/2006-en-barcelona-6278652.htm
Barcelona;KTM;990 SUPERMOTO;Supermotard;999;;47000;2009;6500;http://motos.net/ocasion/ktm/990_supermoto/2009-en-barcelona-6323440.htm
Barcelona;YAMAHA;Neo's 50;Scooters 50cc;49;marron;22000;2014;999;http://motos.net/ocasion/yamaha/neos_50/2014-en-barcelona-6435641.htm
Barcelona;HONDA;SCOOPY SH125i;Scooter 125cc;125;NEGRO;49000;2010;1800;http://motos.net/ocasion/honda/scoopy_sh125i/2010-en-barcelona-6435646.htm
Barcelona;PIAGGIO;LIBERTY 150 4T;Scooters +125cc;150;VERDE;3000;2002;1300;http://motos.net/ocasion/piaggio/liberty_150_4t/2002-en-barcelona-6443998.htm
Madrid;KAWASAKI;Z 800e;Naked;800;BLANCO;10020;2016;7200;http://motos.net/ocasion/kawasaki/z_800e/2016-en-madrid-6452020.htm
